id|Commune|Latitude|Longitude
26691935|Saint-Gratien|48.9703664|2.2840639
26691936|Privas|44.7352708|4.5986733
26691937|Montfermeil|48.8992679|2.5660399
26691938|Saint-Maurice|48.8176111|2.4420702
26691939|Saint-André-les-Vergers|48.2784599|4.0507314
26691940|Villeneuve-lès-Avignon|43.9636595|4.7969224
26691941|Lens|50.4291723|2.8319805
26691942|Cherbourg-en-Cotentin|49.6425343|-1.6249565
26691943|Alfortville|48.8051624|2.4197113
26691944|Bellegarde-sur-Valserine|46.1076476|5.8261219
26691947|Le Cannet|43.5761076|7.0191865
26691948|Varennes-Vauzelles|47.0131960|3.1456935
26691950|Goussainville|49.0323168|2.4733628
26691953|Tourcoing|50.7235038|3.1605714
26691955|Argenteuil|48.9479069|2.2481797
26691956|Pertuis|43.6951468|5.5032671
26691959|Loos|50.6092082|3.0162523
26691961|Saint-Amand-Montrond|46.7227062|2.5046503
26691964|Bouguenais|47.1793010|-1.6233691
26691968|Saint-Priest|45.6965347|4.9441635
26691970|Sartrouville|48.9409016|2.1585037
26691971|La Seyne-sur-Mer|43.1007714|5.8788948
26691972|Bourg-lès-Valence|44.9528222|4.8953847
26691973|Yzeure|46.5676568|3.3539775
26691974|Gif-sur-Yvette|48.7018823|2.1345290
26691975|Le Grand-Quevilly|49.4068986|1.0507926
26691976|Cormeilles-en-Parisis|48.9759637|2.1998877
26691977|Chalon-sur-Saône|46.7831001|4.8534326
26691978|Sainte-Geneviève-des-Bois|48.6407872|2.3259129
26691979|Parthenay|46.6481266|-0.2472687
26691980|Fontainebleau|48.4049375|2.7015872
26691981|Apt|43.8757936|5.3970648
26691982|Nogent-sur-Marne|48.8387639|2.4916592
26691983|Saint-Avold|49.1043397|6.7071754
26691985|Thiais|48.7643664|2.3910240
26691990|Saint-Médard-en-Jalles|44.8958887|-0.7170764
26691992|Fontenay-sous-Bois|48.8490721|2.4749347
26691994|Arras|50.2910480|2.7772211
26691995|Mont-de-Marsan|43.8911318|-0.5009720
26691996|Pessac|44.8056150|-0.6308396
26691997|Champigny-sur-Marne|48.8137759|2.5107384
26691998|Sallaumines|50.4205435|2.8591238
26691999|Nevers|46.9876601|3.1577203
26692000|Issy-les-Moulineaux|48.8250508|2.2734570
26692001|Créteil|48.7771486|2.4530731
26692002|Boissy-Saint-Léger|48.7479193|2.5124717
26692003|Laval|48.0706687|-0.7734022
26692004|Longjumeau|48.6943793|2.2953297
26692005|Mitry-Mory|48.9839674|2.6183971
26692007|Villerupt|49.4684680|5.9326783
26692008|Romans-sur-Isère|45.0458886|5.0528681
26692009|Sélestat|48.2594396|7.4542170
26692010|Hennebont|47.8058026|-3.2751174
26692012|Charenton-le-Pont|48.8198479|2.4159508
26692013|Courrières|50.4558357|2.9447643
26692014|Rueil-Malmaison|48.8777800|2.1802832
26692017|Saran|47.9514553|1.8749906
26692023|Le Bouscat|44.8661755|-0.5992399
26692024|Auchel|50.5037492|2.4682059
26692026|Bischwiller|48.7682281|7.8597466
26692027|Coulommiers|48.8121301|3.0843818
26692028|Fresnes|48.7546687|2.3227967
26692029|Saint-Cloud|48.8437412|2.2193440
26692030|Noisy-le-Sec|48.8897751|2.4516055
26692031|La Teste-de-Buch|44.6316943|-1.1491319
26692033|Maurepas|48.7618735|1.9451480
26692034|Trélazé|47.4460674|-0.4652452
26692035|Plaisir|48.8173990|1.9476363
26692037|Vallauris|43.5761001|7.0585900
26692038|Halluin|50.7826693|3.1249234
26692039|Cesson-Sévigné|48.1197799|-1.6038829
26692040|Châtenay-Malabry|48.7670404|2.2775316
26692041|Bobigny|48.9063870|2.4452231
26692042|Lambersart|50.6477924|3.0223644
26692044|La Chapelle-Saint-Luc|48.3185478|4.0413095
26692047|Saint-Dié-des-Vosges|48.2873153|6.9477708
26692049|Domont|49.0285536|2.3278097
26692051|Soisy-sous-Montmorency|48.9875044|2.3002885
26692052|Mâcon|46.3036683|4.8322266
26692053|Brétigny-sur-Orge|48.6099887|2.3075288
26692057|Roquebrune-sur-Argens|43.4433565|6.6363623
26692058|Wattignies|50.5878779|3.0511655
26692059|Gaillac|43.9016766|1.8967943
26692060|Cavaillon|43.8356808|5.0383522
26692061|Cholet|47.0617293|-0.8801359
26692062|Angoulême|45.6484505|0.1561947
26692064|Fourmies|50.0171741|4.0458492
26692072|Marly-le-Roi|48.8681762|2.0965935
26692074|Riedisheim|47.7492477|7.3682858
26692077|Mantes-la-Jolie|48.9891971|1.7140683
26692079|La Madeleine|50.6544010|3.0733338
26692081|Oissel|49.3424375|1.0957098
26692082|Saint-Sébastien-sur-Loire|47.2035029|-1.4992075
26692085|Muret|43.4599858|1.3262332
26692087|Concarneau|47.8757017|-3.9223889
26692090|Sevran|48.9376340|2.5298164
26692092|Melun|48.5399270|2.6608169
26692095|Montélimar|44.5579391|4.7503180
26692097|Ris-Orangis|48.6538754|2.4151151
26692098|Vauréal|49.0300763|2.0205773
26692100|Barentin|49.5459699|0.9522586
26692102|Raismes|50.3916313|3.4823888
26692107|Hœnheim|48.6212867|7.7554925
26692110|Élancourt|48.7681182|1.9493520
26692111|Belfort|47.6379599|6.8628942
26692112|Liévin|50.4245000|2.7738000
26692113|Villefranche-sur-Saône|45.9864749|4.7266110
26692114|Draguignan|43.5374662|6.4627333
26692117|Saint-Jean-de-Braye|47.9200018|1.9737186
26692119|Garges-lès-Gonesse|48.9703841|2.3990240
26692120|Beausoleil|43.7482810|7.4219677
26692121|Lagny-sur-Marne|48.8773018|2.7056056
26692123|Cambrai|50.1757546|3.2346145
26692124|Illzach|47.7815801|7.3471832
26692125|Provins|48.5602959|3.2988089
26692127|Évry|48.6241665|2.4289667
26692128|Caluire-et-Cuire|45.7969952|4.8423304
26692130|Schiltigheim|48.6047148|7.7484488
26692132|Vigneux-sur-Seine|48.6998552|2.4172117
26692136|Albi|43.9277552|2.1478990
26692137|Grasse|43.6589011|6.9239103
26692140|Châteauneuf-les-Martigues|43.3804293|5.1646417
26692142|Vernon|49.0932008|1.4857205
26692144|Le Pont-de-Claix|45.1236837|5.6978136
26692145|Ermont|48.9917676|2.2585679
26692146|Cachan|48.7945413|2.3340758
